,path,total,n_gaps,n_events,w_gaps,w_events,prob,ratio
0,1_train.tfrec, 17141, 15602,1539,0.549,5.57,0.0898,10.1
1,1_test.tfrec ,  5241,  4701, 540,0.557,4.85,0.103 ,8.71
2,2_train.tfrec,169803,162963,6840,0.521,12.4,0.0403,23.8
3,2_test.tfrec ,  5007,  4797, 210,0.522,11.9,0.0419,22.8
4,3_train.tfrec, 21797, 20865, 932,0.522,11.7,0.0428,22.4
5,3_test.tfrec ,  5579,  5339, 240,0.522,11.6,0.043 ,22.2
6,4_train.tfrec, 95587, 88572,7015,0.54 ,6.81,0.0734,12.6
7,4_test.tfrec ,  4758,  4438, 320,0.536,7.43,0.0673,13.9
8,5_train.tfrec, 45385, 44425, 960,0.511,23.6,0.0212,46.3
9,5_test.tfrec ,  3895,  3755, 140,0.519,13.9,0.0359,26.8
